tweets,time,mem
9431,13.877196073532104,112503134
19234,20.788180351257324,118711422
41015,38.006478786468506,132480463
79139,72.15281319618225,155574945
161137,137.41496348381042,207308035
324798,275.096871137619,309943714
657700,551.3160610198975,518935446
1309538,1141.494493484497,926102102
2630811,2570.167750597,1759954999



['china', 'rest', 'type', 'know', 'work', 'articl', 'research', 'communist', 'answer', 'happi', 'investig', 'littl', 'sar', 'know virus', 'sell', 'intern', 'possibl', 'guy', 'nice', 'bless']
['press', 'news http', 'say', 'say http', 'suggest', 'agenc', 'see', 'remdesivir', 'intellig', 'coronavirus origin', 'evid', 'trump say', 'see evid', 'foxnew', 'reveal', 'white hous', 'evid coronavirus', 'wuhan http', 'approv', 'trump claim']
['care', 'know', 'write', 'worker', 'proud', 'articl', 'answer', 'staff', 'thank', 'love', 'heart', 'nurs', 'essenti worker', 'hospit', 'clinic', 'receiv', 'facil', 'meat', 'plant', 'base']
['lockdown', 'april', 'extend', 'zone', 'orang', 'michigan', 'final', 'coronavirus lockdown', 'season', 'youtub', 'http youtub', 'covid lockdown', 'india', 'covid_', 'lockdown http', 'sweden', 'eas', 'arm', 'wave', 'relax']
['peopl', 'kill', 'number', 'count', 'die', 'peopl die', 'black', 'american', 'vote', 'die covid', 'govwhitm', 'heart', 'hospit', 'million', 'counti', 'crimin', 'area', 'kill peopl', 'million peopl', 'funer']
['trump', 'emerg', 'say', 'agenc', 'see', 'patient', 'associ', 'drug', 'remdesivir', 'intellig', 'evid', 'trump say', 'see evid', 'covid patient', 'drink', 'disinfect', 'covid crisi', 'evid coronavirus', 'wuhan http', 'trump claim']
['weekend', 'face mask', 'stay', 'home', 'order', 'stay home', 'home order', 'shop', 'school', 'coronavirus http', 'return', 'teacher', 'safe', 'option', 'stick', 'payment', 'promis', 'stay safe', 'loan', 'clean']
['virus', 'china', 'spread', 'natur', 'anim', 'human', 'corona', 'research', 'communist', 'chines', 'releas', 'investig', 'spread virus', 'virus spread', 'china virus', 'corona virus', 'covid virus', 'weapon', 'manufactur', 'chines virus']
['covid', 'reopen', 'stayathom', 'covid coronavirus', 'covid http', 'michigan', 'covid__', 'http coronavirus', 'coronavirus covid', 'youtub', 'http youtub', 'fight covid', 'list', 'covid_', 'http covid', 'california', 'stayhom', 'relief', 'covid crisi', 'covidãƒ¼']
['covid', 'covid pandem', 'posit', 'http http', 'announc', 'post', 'includ', 'data', 'near', 'covid lockdown', 'india', 'current', 'discuss', 'counti', 'amid covid', 'drive', 'kano', 'posit covid', 'depart', 'covid test']
['video', 'financi', 'amid', 'amid coronavirus', 'pandem http', 'http http', 'year', 'coronavirus pandem', 'news http', 'read', 'impact', 'educ', 'expert', 'billion', 'sport', 'alert', 'join', 'reveal', 'report http', 'appl']
['virus', 'dead virus', 'spread', 'test', 'test posit', 'earli', 'open', 'virus go', 'antibodi', 'symptom', 'spread virus', 'slow', 'negat', 'break', 'virus spread', 'china virus', 'capac', 'korea', 'coronavirus test', 'trace']
['outsid', 'freedom', 'peopl', 'stay', 'home', 'order', 'stay home', 'home order', 'die', 'peopl die', 'vulner', 'nurs', 'insid', 'healthi', 'sick', 'nurs home', 'stay safe', 'kill peopl', 'elder', 'save live']
['death', 'doubt', 'caus', 'know', 'figur', 'happen', 'republican', 'count', 'toll', 'coronavirus death', 'death toll', 'american', 'realdonaldtrump', 'vote', 'worst', 'piersmorgan', 'rat', 'sweden', 'ignor', 'death rate']
['covid', 'amid', 'covid pandem', 'http http', 'webinar', 'covid covid', 'covid http', 'read', 'covid vaccin', 'impact', 'virtual', 'coronavirus covid', 'impact covid', 'amid covid', 'project', 'covid updat', 'date', 'staysaf', 'trend', 'digit']
['long', 'learn', 'free', 'face', 'chang', 'spend', 'self', 'issu', 'support', 'local', 'servic', 'stress', 'provid', 'share', 'experi', 'visit', 'difficult', 'social', 'short', 'quarantin']
['look', 'like', 'hell', 'fuck', 'feel', 'shit', 'interest', 'yeah', 'look like', 'thread', 'idea', 'stuff', 'sound', 'wonder', 'piec', 'guy', 'nice', 'imagin', 'suppos', 'feel like']
['like', 'covid', 'treatment', 'covid covid', 'covid coronavirus', 'covid http', 'blood', 'bodi', 'coronavirus covid', 'die covid', 'patient', 'look like', 'heart', 'cancer', 'covid death', 'http covid', 'covid patient', 'treat', 'covid crisi', 'death rate']
['test', 'posit', 'test posit', 'plan', 'middl', 'senat', 'target', 'antibodi', 'pandem respons', 'negat', 'break', 'drive', 'lack', 'capac', 'posit coronavirus', 'coronavirus test', 'posit covid', 'trace', 'covid test', 'capitol']